InvoiceNo,Recency,Frequency,Monetary,Cluster,Segment
536414,374,56,0.0,0,Low-Value Guests
536544,373,1208,5521.14,2,Recent High-Spenders
536545,373,1,0.0,0,Low-Value Guests
536546,373,1,0.0,0,Low-Value Guests
536547,373,1,0.0,0,Low-Value Guests
536549,373,1,0.0,0,Low-Value Guests
536550,373,1,0.0,0,Low-Value Guests
536552,373,1,0.0,0,Low-Value Guests
536553,373,3,0.0,0,Low-Value Guests
536554,373,23,0.0,0,Low-Value Guests
536555,373,2,2.9699999999999998,0,Low-Value Guests
536558,373,5,99.75,0,Low-Value Guests
536565,373,2,6.7,0,Low-Value Guests
536589,373,-10,0.0,0,Low-Value Guests
536592,373,1478,6915.65,2,Recent High-Spenders
536596,373,9,38.09,0,Low-Value Guests
536640,373,11,45.85,0,Low-Value Guests
536755,372,15,54.25,0,Low-Value Guests
536756,372,23,66.65,0,Low-Value Guests
536764,372,-38,0.0,0,Low-Value Guests
536765,372,19,0.0,0,Low-Value Guests
536780,372,4,12.8,0,Low-Value Guests
536801,372,134,252.3,0,Low-Value Guests
536862,372,150,1334.13,0,Low-Value Guests
536864,372,66,636.6800000000001,0,Low-Value Guests
536865,372,317,2396.96,0,Low-Value Guests
536866,372,1,8.47,0,Low-Value Guests
536876,372,1641,7257.08,2,Recent High-Spenders
536883,372,13,5.46,0,Low-Value Guests
536885,372,200,549.0,0,Low-Value Guests
536920,372,58,69.3,0,Low-Value Guests
536941,372,20,0.0,0,Low-Value Guests
536942,372,15,0.0,0,Low-Value Guests
536982,371,1834,10661.69,2,Recent High-Spenders
536991,371,32,26.4,0,Low-Value Guests
536995,371,57,0.0,0,Low-Value Guests
536996,371,-20,0.0,0,Low-Value Guests
536997,371,-20,0.0,0,Low-Value Guests
536998,371,-6,0.0,0,Low-Value Guests
536999,371,110,0.0,0,Low-Value Guests
537000,371,-22,0.0,0,Low-Value Guests
537001,371,-6,0.0,0,Low-Value Guests
537002,371,70,0.0,0,Low-Value Guests
537003,371,-2,0.0,0,Low-Value Guests
537004,371,-30,0.0,0,Low-Value Guests
537005,371,-70,0.0,0,Low-Value Guests
537006,371,-130,0.0,0,Low-Value Guests
537007,371,-80,0.0,0,Low-Value Guests
537008,371,-120,0.0,0,Low-Value Guests
537009,371,-80,0.0,0,Low-Value Guests
537010,371,-40,0.0,0,Low-Value Guests
537011,371,-5,0.0,0,Low-Value Guests
537012,371,-12,0.0,0,Low-Value Guests
537013,371,-25,0.0,0,Low-Value Guests
537014,371,-20,0.0,0,Low-Value Guests
537015,371,-14,0.0,0,Low-Value Guests
537016,371,-15,0.0,0,Low-Value Guests
537017,371,-69,0.0,0,Low-Value Guests
537018,371,-3,0.0,0,Low-Value Guests
537019,371,-15,0.0,0,Low-Value Guests
537020,371,-30,0.0,0,Low-Value Guests
537021,371,-20,0.0,0,Low-Value Guests
537025,371,48,76.83,0,Low-Value Guests
